Finished,Child Gender,Child Age Group,Child Age In Years,Child Race,Surprise-Important-Score,Surprise-Important-Note,Surprise-Interesting-Score,Surprise-Interesting-Note,Surprise-Difficulty-Score,Surprise-Difficulty-Note,Surprise-Motivation-Score,Surprise-Motivation-Note,Awe-Important-Score,Awe-Important-Note,Awe-Interesting-Score,Awe-Interesting-Note,Awe-Difficulty-Score,Awe-Difficulty-Note,Awe-Motivation-Score,Awe-Motivation-Note,Enjoyment-Important-Score,Enjoyment-Important-Note,Enjoyment-Interest-Score,Enjoyment-Interest-Note,Enjoyment-Difficulty-Score,Enjoyment-Difficulty-Note,Enjoyment-Motivation-Score,Enjoyment-Motivation-Note,Neutral-Important-Score,Neutral-Important-Note,Neutral-Interesting-Score,Neutral-Interesting-Note,Neutral-Difficulty-Score,Neutral-Difficulty-Note,Neutral-Motivation-Score,Neutral-Motivation-Note,Fear-Important-Score,Fear-Important-Note,Fear-Interesting-Score,Fear-Interesting-Note,Fear-Difficulty-Score,Fear-Difficulty-Note,Fear-Motivation-Score,Fear-Motivation-Note,Sadness-Importance-Score,Sadness-Importance-Note,Sadness-Interesting-Score,Sadness-Interesting-Note,Sadness-Difficulty-Score,Sadness-Difficulty-Note,Sadness-Motivation-Score,Sadness-Motivation-Note
TRUE,Female,6,6.91,White,1,really not important,6,really interesting,1,really easy,4,a tiny bit want to learn,1,really not important,4,a tiny bit interesting,6,really difficult,3,a tiny bit not want to learn,4,a tiny bit important,1,really not interesting,6,really difficult,6,a lot want to learn,1,really not important,1,really not interesting,2,a little easy,1,a lot not want to learn,1,really not important,1,really not interesting,1,really easy,1,a lot not want to learn,1,really not important,6,really interesting,1,really easy,3,a tiny bit not want to learn
TRUE,Female,4,4.79,White,1,really not important,1,really not interesting,6,really difficult,1,a lot not want to learn,3,a tiny bit not important,4,a tiny bit interesting,1,really easy,6,a lot want to learn,6,really important,1,really not interesting,6,really difficult,1,a lot not want to learn,1,really not important,6,really interesting,1,really easy,1,a lot not want to learn,1,really not important,1,really not interesting,6,really difficult,1,a lot not want to learn,1,really not important,1,really not interesting,6,really difficult,1,a lot not want to learn
TRUE,Female,6,6.05,Hispanic,5,a little important,3,a tiny bit not interesting,5,a little difficult,3,a tiny bit not want to learn,6,really important,4,a tiny bit interesting,2,a little easy,4,a tiny bit want to learn,5,a little important,4,a tiny bit interesting,3,a tiny bit easy,5,a little want to learn,2,a little not important,2,a little not interesting,4,a tiny bit difficult,3,a tiny bit not want to learn,3,a tiny bit not important,2,a little not interesting,6,really difficult,2,a little not want to learn,1,really not important,3,a tiny bit not interesting,6,really difficult,1,a lot not want to learn
TRUE,Male,6,6.07,White,6,really important,6,really interesting,6,really difficult,1,a lot not want to learn,6,really important,1,really not interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,4,a tiny bit difficult,4,a tiny bit want to learn,6,really important,1,really not interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,6,really difficult,2,a little not want to learn,6,really important,2,a little not interesting,4,a tiny bit difficult,5,a little want to learn
TRUE,Female,8,8.58,Asian,5,a little important,5,a little interesting,3,a tiny bit easy,5,a little want to learn,6,really important,5,a little interesting,4,a tiny bit difficult,6,a lot want to learn,5,a little important,6,really interesting,5,a little difficult,3,a tiny bit not want to learn,3,a tiny bit not important,1,really not interesting,2,a little easy,2,a little not want to learn,2,a little not important,1,really not interesting,1,really easy,2,a little not want to learn,1,really not important,2,a little not interesting,6,really difficult,1,a lot not want to learn
TRUE,Female,5,5.52,Asian,6,really important,6,really interesting,6,really difficult,6,a lot want to learn,6,really important,5,a little interesting,6,really difficult,1,a lot not want to learn,1,really not important,4,a tiny bit interesting,1,really easy,1,a lot not want to learn,1,really not important,4,a tiny bit interesting,3,a tiny bit easy,1,a lot not want to learn,6,really important,5,a little interesting,3,a tiny bit easy,3,a tiny bit not want to learn,5,a little important,1,really not interesting,2,a little easy,1,a lot not want to learn
TRUE,Female,6,6.09,Asian,6,really important,6,really interesting,2,a little easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,5,a little important,6,really interesting,3,a tiny bit easy,6,a lot want to learn,3,a tiny bit not important,6,really interesting,4,a tiny bit difficult,6,a lot want to learn,3,a tiny bit not important,6,really interesting,6,really difficult,6,a lot want to learn
TRUE,Female,7,7.13,White,5,a little important,6,really interesting,6,really difficult,5,a little want to learn,6,really important,6,really interesting,6,really difficult,1,a lot not want to learn,6,really important,4,a tiny bit interesting,4,a tiny bit difficult,6,a lot want to learn,6,really important,2,a little not interesting,2,a little easy,2,a little not want to learn,1,really not important,6,really interesting,3,a tiny bit easy,1,a lot not want to learn,6,really important,5,a little interesting,2,a little easy,1,a lot not want to learn
TRUE,Female,4,4.98,White,6,really important,1,really not interesting,6,really difficult,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,6,really difficult,6,a lot want to learn,6,really important,6,really interesting,6,really difficult,6,a lot want to learn,1,really not important,1,really not interesting,5,a little difficult,6,a lot want to learn
TRUE,Female,4,4.67,Hispanic,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn
TRUE,Female,8,8.98,Black or African American,1,really not important,6,really interesting,6,really difficult,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,1,really not interesting,6,really difficult,1,a lot not want to learn,6,really important,6,really interesting,1,really easy,3,a tiny bit not want to learn,1,really not important,1,really not interesting,1,really easy,1,a lot not want to learn
TRUE,Female,7,7.66,Black or African American,5,a little important,1,really not interesting,6,really difficult,1,a lot not want to learn,1,really not important,6,really interesting,1,really easy,6,a lot want to learn,1,really not important,1,really not interesting,3,a tiny bit easy,1,a lot not want to learn,1,really not important,5,a little interesting,2,a little easy,1,a lot not want to learn,1,really not important,1,really not interesting,6,really difficult,2,a little not want to learn,1,really not important,1,really not interesting,1,really easy,3,a tiny bit not want to learn
TRUE,Female,8,8.98,Black or African American,1,really not important,1,really not interesting,5,a little difficult,2,a little not want to learn,4,a tiny bit important,6,really interesting,1,really easy,6,a lot want to learn,6,really important,6,really interesting,6,really difficult,1,a lot not want to learn,1,really not important,1,really not interesting,6,really difficult,1,a lot not want to learn,2,a little not important,1,really not interesting,6,really difficult,1,a lot not want to learn,6,really important,1,really not interesting,1,really easy,1,a lot not want to learn
TRUE,Female,6,6.11,White,1,really not important,4,a tiny bit interesting,1,really easy,3,a tiny bit not want to learn,1,really not important,3,a tiny bit not interesting,6,really difficult,1,a lot not want to learn,6,really important,6,really interesting,1,really easy,6,a lot want to learn,5,a little important,4,a tiny bit interesting,4,a tiny bit difficult,3,a tiny bit not want to learn,1,really not important,1,really not interesting,6,really difficult,1,a lot not want to learn,2,a little not important,1,really not interesting,5,a little difficult,1,a lot not want to learn
TRUE,Male,7,7.97,White,5,a little important,4,a tiny bit interesting,5,a little difficult,5,a little want to learn,4,a tiny bit important,6,really interesting,3,a tiny bit easy,5,a little want to learn,5,a little important,5,a little interesting,3,a tiny bit easy,3,a tiny bit not want to learn,6,really important,6,really interesting,6,really difficult,6,a lot want to learn,6,really important,5,a little interesting,3,a tiny bit easy,4,a tiny bit want to learn,4,a tiny bit important,1,really not interesting,3,a tiny bit easy,3,a tiny bit not want to learn
TRUE,Female,7,7.69,Black or African American,5,a little important,6,really interesting,6,really difficult,5,a little want to learn,6,really important,6,really interesting,5,a little difficult,6,a lot want to learn,5,a little important,6,really interesting,2,a little easy,6,a lot want to learn,6,really important,5,a little interesting,5,a little difficult,5,a little want to learn,1,really not important,3,a tiny bit not interesting,2,a little easy,1,a lot not want to learn,1,really not important,1,really not interesting,1,really easy,2,a little not want to learn
TRUE,Female,8,8.06,White,5,a little important,6,really interesting,6,really difficult,6,a lot want to learn,6,really important,6,really interesting,5,a little difficult,6,a lot want to learn,5,a little important,5,a little interesting,2,a little easy,2,a little not want to learn,2,a little not important,1,really not interesting,1,really easy,1,a lot not want to learn,1,really not important,2,a little not interesting,5,a little difficult,2,a little not want to learn,3,a tiny bit not important,2,a little not interesting,4,a tiny bit difficult,1,a lot not want to learn
TRUE,Female,5,5.06,Asian,1,really not important,1,really not interesting,1,really easy,6,a lot want to learn,5,a little important,3,a tiny bit not interesting,1,really easy,6,a lot want to learn,1,really not important,3,a tiny bit not interesting,4,a tiny bit difficult,6,a lot want to learn,4,a tiny bit important,3,a tiny bit not interesting,3,a tiny bit easy,6,a lot want to learn,5,a little important,5,a little interesting,3,a tiny bit easy,6,a lot want to learn,6,really important,5,a little interesting,4,a tiny bit difficult,6,a lot want to learn
TRUE,Female,7,7.49,Asian,4,a tiny bit important,4,a tiny bit interesting,3,a tiny bit easy,4,a tiny bit want to learn,5,a little important,5,a little interesting,3,a tiny bit easy,5,a little want to learn,3,a tiny bit not important,6,really interesting,1,really easy,6,a lot want to learn,5,a little important,3,a tiny bit not interesting,4,a tiny bit difficult,4,a tiny bit want to learn,6,really important,1,really not interesting,6,really difficult,5,a little want to learn,5,a little important,2,a little not interesting,4,a tiny bit difficult,4,a tiny bit want to learn
